X,Y,device_id,Desc_,UpdateDate,UpdateTime,UTCoffset,linear_reference,Route,ImageName,ImageURL,VideoURL,ORG,latitude,longitude,Type,FID,REGION,RECORDED,COMMON_ID,FUNCTION
-10242361.6325511,5114307.69094598,59558396,RWIS - IA 149 MM 66 @ Williamsburg,20260531,185928,-500,65.8226492220981,IA 149,R48: Ramp Intersection,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_48-05.jpg,,IADOT,41.687667,-92.0087,RWIS,510470,RWIS Cameras,E,RWIS_48,RWIS
-10211007.4960937,5165183.17356279,59558400,CR - IA 100 @ MM 6.5,20260531,185928,-500,6.5363302031174,IA 100,CR - IA 100 @ MM 6.5,https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/crtv54hd.jpeg,https://video2.iowadot.gov:8888/cedarrapids/crtv54lb/playlist.m3u8,IADOT,42.028057,-91.727041,Iowa DOT,510471,Cedar Rapids,Y,CRTV54,General
-10410804.4974059,5110166.04923016,59558404,DM - I-80 @ MM 140.4 (US 65),20260531,185928,-500,140.35360832896,I-80,DM - I-80 @ MM 140.4 (US 65),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/dmtv026hd.jpeg,https://video3.iowadot.gov:8888/ankeny/dmtv026lb/playlist.m3u8,IADOT,41.659877,-93.521848,Iowa DOT,510472,Des Moines,Y,DMTV026,General
-10474279.2050147,5228531.0330625,59558405,D1 - US 20 @ MM 126.20,20260531,185928,-500,119.595658874373,US 20,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/Rural/D1TV126.jpg,,IADOT,42.449361,-94.092051,Iowa DOT,510473,Other,E,D1TV126,
-10447839.2674785,4961628.76732842,59558401,RA35DEC02 - Northeast,20260531,185928,-500,7.01918501664968,I-35,Rest Area: I-35 N/S MM 7 - Lamoni - Trk Prkg - Northeast,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA35DEC02-Northeast.jpg,,IADOT,40.655287,-93.854537,Rest Area/Parking,510474,RA35DEC02 RA35DEC02 - Northeast,E,RA35DEC02,Rest Area
-10447839.2674785,4961628.76732842,59558401,RA35DEC02 - Northeast,20260531,185928,-500,7.01918501664968,I-35,Rest Area: I-35 N/S MM 7 - Lamoni - Trk Prkg - South,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA35DEC02-South.jpg,,IADOT,40.655287,-93.854537,Rest Area/Parking,510475,RA35DEC02 RA35DEC02 - Northeast,E,RA35DEC02,Rest Area
-10447839.2674785,4961628.76732842,59558401,RA35DEC02 - Northeast,20260531,185928,-500,7.01918501664968,I-35,Rest Area: I-35 N/S MM 7 - Lamoni - Trk Prkg - Southwest,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA35DEC02-Southwest.jpg,,IADOT,40.655287,-93.854537,Rest Area/Parking,510476,RA35DEC02 RA35DEC02 - Northeast,E,RA35DEC02,Rest Area
-10447839.2674785,4961628.76732842,59558401,RA35DEC02 - Northeast,20260531,185928,-500,7.01918501664968,I-35,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RestAreas/RA35DEC02-West.jpg,,IADOT,40.655287,-93.854537,Rest Area/Parking,510477,RA35DEC02 RA35DEC02 - Northeast,E,RA35DEC02,Rest Area
-10179602.0413511,5111922.04196263,59558402,WWD - I-80 @ MM 249 (Herbert Hoover Hwy),20260531,185928,-500,249.03596017344,I-80,WWD - I-80 @ MM 249 (Herbert Hoover Hwy),https://atmsqf.iowadot.gov/SNAPSHOTS/PUBLIC/Metro/wwdtv066hd.jpeg,https://video3.iowadot.gov:8888/cedarrapids/wwdtv066lb/playlist.m3u8,IADOT,41.671661,-91.444921,Iowa DOT,510478,WWD,Y,WWDTV066,WWD
-10695431.9600797,5233486.59297886,59558403,RWIS - US 20 MM 18 @ Moville,20260531,185928,-500,17.1006905040014,US 20,R41: US 20 East - West Lanes,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_41-00.jpg,,IADOT,42.4822,-96.0787,RWIS,510479,RWIS Cameras,E,RWIS_41,RWIS
-10695431.9600797,5233486.59297886,59558403,RWIS - US 20 MM 18 @ Moville,20260531,185928,-500,17.1006905040014,US 20,R41: US 20 East - West Bridge Deck,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_41-01.jpg,,IADOT,42.4822,-96.0787,RWIS,510480,RWIS Cameras,E,RWIS_41,RWIS
-10695431.9600797,5233486.59297886,59558403,RWIS - US 20 MM 18 @ Moville,20260531,185928,-500,17.1006905040014,US 20,R41: US 20 Moville Intersection,https://atmsqf.iowadot.gov/snapshots/public/RWIS/RWIS_41-02.jpg,,IADOT,42.4822,-96.0787,RWIS,510481,RWIS Cameras,E,RWIS_41,RWIS
-10695431.9600797,5233486.59297886,59558403,RWIS - US 20 MM 18 @ Moville,20260531,185928,-500,17.1006905040014,US 20,Camera Snapshot snapshot,https://atmsqf.iowadot.gov/snapshots/Public/RWIS/RWIS_41-03.jpg,,IADOT,42.4822,-96.0787,RWIS,510482,RWIS Cameras,E,RWIS_41,RWIS
